ID,First Name,Last Name,Full Name,Credentials,Specialties,Languages,Locations,Has Photo,Slug
1565,Marinette,Bernardo,Marinette Bernardo,MD,Internal Medicine,English; Tagalog,CMC Manteca,Y,marinette-bernardo
3580,Megan,Stevens,Megan Stevens,LCSW,Behavioral Health,English,CMC TUSD Student Wellness Center,N,megan-stevens
1473,Melanie,Deschine,Melanie Deschine,ASW,Behavioral Health,English,CMC Tracy Grant Line,N,melanie-deschine
1472,Michelle,Coble,Michelle Coble,LCSW,Behavioral Health,English,CMC West Lane,Y,michelle-coble
1541,Miriam,Lakes,Miriam Lakes,NP,Family Medicine,English,CMC Channel,N,miriam-lakes
1503,Moham,Ansari,Moham Ansari,DDS,General Dentistry,English; Farsi,CMC Tracy Dental,Y,moham-ansari
1557,Mridu,Shepard,Mridu Shepard,NP,Family Medicine,English; Nepali,CMC Vacaville,Y,mridu-shepard
1585,Naga,Chitta,Naga Chitta,MD,Pediatrics,English; Hindi; Telugu,CMC Tracy,Y,naga-chitta
1529,Nancy,Chuks-Orji,Nancy Chuks-Orji,NP,Family Medicine,English; Igbo,CMC Waterloo,Y,nancy-chuks-orji
1468,Napeleon,Anzar,Napeleon Anzar,ASW,Behavioral Health,English,CMC West Lane,Y,napeleon-anzar
1487,Nashma,Robles,Nashma Robles,ASW,Behavioral Health,English; Spanish,CMC Tracy Grant Line,Y,nashma-robles
1508,Pamela,Han,Pamela Han,DMD,General Dentistry,English; Spanish,CMC Tracy Dental,Y,pamela-han
1580,Paula,Ramirez,Paula  Ramirez,RD,Nutrition,English; Spanish,CMC Vacaville,Y,paula-ramirez
1590,Pinki,Goswami,Pinki Goswami,PNP,Pediatrics,English; Hindi; Punjabi,CMC California Street,Y,pinki-goswami
1608,Pratibha,Patil,Pratibha Patil,MD,Pediatrics,English; Hindi,CMC Tracy Grant Line,Y,pratibha-patil
3582,Prerna,Agrawal,Prerna Agrawal,MD,Pediatrics,English,CMC California Street Pediatrics,Y,prerna-agrawal
3584,Princess,Nguyen,Princess Nguyen,LCSW,Behavioral Health,English,CMC California Street Pediatrics,Y,princess-nguyen
3586,Priyanka,Rajput,Priyanka Rajput,MD,Family Medicine,English; Gujarati; Hindi,CMC Channel,Y,priyanka-rajput
1522,Rabia,Akhtar,Rabia Akhtar,PA,Family Medicine,English; Hindi,CMC FLOAT,Y,rabia-akhtar
3588,Rajashekar,Yeruva,Rajashekar Yeruva,MD,Family Medicine,Chinese; Hindi; Telugu,CMC Lodi East,Y,rajashekar-yeruva
1604,Regina,Wong,Regina Wong,MD,Pediatrics,English,CMC Lodi East,Y,regina-wong
3590,Richelle,Cruz,Richelle Cruz,MD,Family Medicine,English; Tagalog,CMC Channel; CMC Manteca,Y,richelle-cruz
1613,Rodney,Brauher,Rodney  Brauher,PA,Psychiatry,English,CMC Manteca,Y,rodney-brauher
1515,Ronald,Damiano,Ronald Damiano,PA,Dermatalogy,English,CMC East March Lane - CareToday,Y,ronald-damiano
1607,Rosemary,Nunez Davis,Rosemary  Nunez Davis,DO,Pediatrics,English; Spanish,CMC Lodi East,Y,rosemary-nunez-davis
1506,Rowena,Cohen,Rowena Cohen,DDS,General Dentistry,English,CMC Tracy Dental,Y,rowena-cohen
3592,Roxana,Cabrera-Brown,Roxana Cabrera-Brown,MD,Family Medicine,English; Spanish,CMC 747 Channel; CMC Channel,Y,roxana-cabrera-brown
3614,Sadichchha,Parajuli,Sadichchha Parajuli,MD,Family Medicine,English; Hindi; Nepali,CMC Waterloo,N,sadichchha-parajuli
1491,Sarah,Vang,Sarah  Vang,ASW,Behavioral Health,English,CMC Channel,N,sarah-vang
1621,Sarah,Vaillancourt,Sarah Vaillancourt,NP,Women's Health,English,CMC Manteca; CMC Mariposa,Y,sarah-vaillancourt
1488,Sarina,Silva,Sarina Silva,ASW,Behavioral Health,English,CMC Tracy Grant Line,Y,sarina-silva
1476,Scott,Howard,Scott Howard,Psychologist,Behavioral Health,English,CMC Channel; CMC Gleason House,Y,scott-howard
1601,Shailinder,Singh,Shailinder Singh,MD,Pediatrics,English; Hindi; Punjabi,CMC Mariposa,Y,shailinder-singh
1554,Shami,Prasad-Clerve,Shami Prasad-Clerve,FNP,Family Medicine,English; Hindi,CMC Vacaville,Y,shami-prasad-clerve
1530,Sharon,Corbin,Sharon Corbin,NP,Family Medicine,English,CMC Dorothy L. Jones,Y,sharon-corbin
1614,Shilpa,Sammeta,Shilpa  Sammeta,MD,Psychiatry,English,CMC California Street,Y,shilpa-sammeta
1597,Siva,Nallam,Siva Nallam,MD,Pediatrics,English; Telugu,CMC California Street,Y,siva-nallam
1592,Smija,Jayaprakash,Smija Jayaprakash,MD,Pediatrics,English; Hindi; Malayalam,CMC Channel,Y,smija-jayaprakash
3596,Sukhreet,Ghuman,Sukreet Ghuman,MD,Family Medicine,English; Punjabi,CMC Manteca; CMC Waterloo,Y,sukreet-ghuman
1555,Sumitra,Ramireddy,Sumitra Ramireddy,MD,Family Medicine,English; Telugu,CMC Tracy Grant Line,Y,sumitra-ramireddy
1544,Susan,Morrison,Susan Morrison,MD,Family Medicine,English,CMC West Lane,Y,susan-morrison
1560,Tai,Tran,Tai Tran,PA,Family Medicine,English; Spanish; Vietnamese,CMC Lawrence,Y,tai-tran
1499,Tanya,Jones,Tanya Jones,RDH,Dental Hygiene,English,CMC Weberstown Medical,N,tanya-jones
1575,Than,Soe,Than Soe,MD,Internal Medicine,English; Myanmar,CMC Lodi East,Y,than-soe
1486,Torrie,Piasecki,Torrie Piasecki,LCSW,Behavioral Health,English,CMC West Lane,Y,torrie-piasecki
3598,Vaishali,Benaka Hebbar,Vaishali Benaka Hebbar,MD,Pediatrics,English; Hindi; Kannada,CMC Tracy Grant Line,Y,vaishali-benaka-hebbar
3600,Vanessa,Armendariz,Vanessa Armendariz,MD,Family Medicine,English,CMC Channel,Y,vanessa-armendariz
1581,Vanessa,Romo,Vanessa Romo,RD,Nutrition,English,CMC Channel; CMC Mariposa,Y,vanessa-romo
3602,Vedesh,Babu,Vedesh Babu,MD,Endocrinology,English; Hindi; Kannada; Tamil; Telugu,CMC West Lane,Y,vedesh-babu
1509,Vijayalakshmi,Katragadda,Vijayalakshmi Katragadda,DDS,General Dentistry,English; Hindi; Marathi,CMC Tracy Dental,N,vijayalakshmi-katragadda
1611,Wing,Ip,Wing Ip,DPM,Podiatry,Cantonese; English,CMC West Lane,Y,wing-ip
1567,Yeji,Cha,Yeji  Cha,MD,Internal Medicine,English; Korean,CMC West Lane,Y,yeji-cha
3615,Yiuing,Pinches,Yiuing Pinches,MD,Family Medicine,English; Japanese; Spanish,CMC St. Mary,Y,yiuing-pinches
3604,Yuvraj,Singh,Yuvraj Singh,MD,Psychiatry,English; Hindi; Punjabi,CMC Lodi East,Y,yuvraj-singh
1477,Zelikha,Izmarai,Zelikha Izmarai,ASW,Behavioral Health,English,CMC Dixon; CMC Vacaville,Y,zelikha-izmarai
1511,Zohreh,Marashi,Zohreh Marashi,DDS,General Dentistry,English; Farsi,CMC Vacaville Dental,Y,zohreh-marashi
